,SMC Mean,JAC Mean
most popular Christmas traditions,0.3783489238034692,0.6239639148730058
most memorable movie quotes,0.21700242739080594,0.3096238220131618
most iconic video game franchises,0.5363636363636364,0.9008264462809921
most important philosophers of the 20th century,0.44407713498622586,0.8826446280991737
most influential fashion designers,0.38038991311718573,0.7515575333757152
most stunning national parks in the USA,0.4476783822238368,0.6394635667362941
most notable historical events in Asia,0.09929013570161897,0.2903289427212872
"most popular workout routines, give me only the titles of the routines",0.38641782459964275,0.5889807162534435
most renowned ballet performances,0.5274104683195592,0.8561983471074384
most influential comic book artists,0.3466836194108922,0.7350709896164443
most celebrated German poets in history,0.49991735537190085,0.7999999999999998
most famous paintings of the 21st century,0.06155261405261406,0.21657099350597803
most important inventions of the Industrial Revolution,0.39906093906093915,0.6925014379559835
most beloved Disney movies,0.49057851239669426,0.9008264462809921
most influential economists,0.731570247933884,0.9074380165289259
most picturesque islands in the Caribbean,0.12735310144401055,0.498598371325644
most popular dance styles in Africa,0.1804204886023068,0.6152029788393426
most influential spiritual leaders,0.2800360245814791,0.46978507935445746
most iconic sports teams of all time,0.39394363212545025,0.7749523204068659
most famous bridges in the world,0.6024793388429751,0.8512396694214879
most beloved fictional detectives,0.40054823963914865,0.6500832500832502
most influential horror movies,0.42746344564526373,0.7847425301970756
most iconic fashion accessories,0.1708108825221124,0.4210578191861613
most important space telescopes,0.5136469591015045,0.7388853570671751
most popular musicals on Broadway,0.44808222080949356,0.7666878575969486
most influential autobiographies,0.4668582932219295,0.6531226349408168
most famous historical figures from Africa,0.282708200890019,0.6762025852934943
most beloved anime series,0.5290633608815426,0.8077134986225898
most significant treaties in history,0.22821511821511817,0.49916447189174445
most popular podcasts in Spanish,0.17208458208458205,0.4583250083250082
most influential digital artists,0.2839957012684286,0.7150183150183151
most beloved romantic comedies,0.3999215935579572,0.8107649925831745
most significant geological formations,0.25129204129204125,0.4845820845820845
most famous buildings in Manhattan,0.35044016589471133,0.5658886567977478
most iconic advertising campaigns,0.25242901928730804,0.43858538965490834
most influential medieval philosophers,0.4587878787878788,0.8545454545454548
most popular amusement parks in China,0.2539830623921533,0.4795265340719886
most significant court cases in history,0.6266115702479338,0.9669421487603308
most popular TED Talks,0.4941410105046468,0.6359034904489448
most iconic album covers,0.4465846274937184,0.8107105016195926
most famous explorers of all time,0.5116852844125572,0.6518996155359791
most influential religious texts,0.6680949353676625,0.8252595888959526
most popular luxury car brands,0.3264284853589667,0.49470422625502847
most notable Nobel Prize winners,0.4886183513456241,0.8081373172282263
most beloved fantasy book series,0.5629963975418522,0.7504979868616231
"most significant protests in history, only give me the name of the protest",0.16808856473294975,0.3723234328919664
most popular wine regions in Europe,0.39860775588048325,0.7829624920534011
most influential modern philosophers,0.40193564011745814,0.6928768201495474
most beloved movie directors,0.4940495867768595,0.8556473829201102
most famous historical reenactments,0.07915771277226383,0.17006089885346848
most popular online marketplaces,0.48688826325189943,0.6266218629854994
most iconic rock bands,0.7361983471074379,0.8743801652892563
most significant ancient civilizations,0.36970361377059946,0.4006944411250632
most influential television hosts,0.4696418732782368,0.7768595041322314
most influential actors of all time,0.2216825598643781,0.7920322102140285
most renowned opera singers,0.5606653952108498,0.7672388217842765
most significant space discoveries,0.1471565852448206,0.27106270062926413
most beloved holiday destinations in Europe,0.6302479338842976,0.8876033057851243
most influential psychologists,0.49133290951472774,0.7850392032210215
most popular sports in South America,0.3357810371446735,0.5500544909635819
most notable pandemics in history,0.5090972663699938,0.7406653952108496
most beloved video game characters,0.48093663911845724,0.9052341597796146
most influential environmental documentaries,0.3677404413768049,0.7508309871946235
most popular fitness trends,0.4470529470529471,0.6856355765446674
most influential contemporary artists,0.4090909090909091,1.0
most beloved superhero movies,0.527107438016529,0.7829201101928375
"most significant revolutions in world history, only give me the titles of revolutions",0.4142954015681288,0.7545242636151728
most iconic moments in fashion shows,0.006019951840385277,0.0138411983613222
